search_word,sum,date
php,1047,2020-04-05
laravel,152,2020-04-05
cakephp,114,2020-04-05
wordpress,154,2020-04-05
ruby,606,2020-04-05
rails,416,2020-04-05
python,308,2020-04-05
django,31,2020-04-05
flask,15,2020-04-05
java,1910,2020-04-05
spring,113,2020-04-05
struts,34,2020-04-05
kotlin,109,2020-04-05
javascript,1089,2020-04-05
react,258,2020-04-05
vue,190,2020-04-05
jquery,258,2020-04-05
swift,333,2020-04-05
objective-c,226,2020-04-05
go,340,2020-04-05
gcp,99,2020-04-05
aws,1663,2020-04-05
azure,30,2020-04-05
linux,472,2020-04-05
git,2022,2020-04-05
svn,29,2020-04-05
jenkins,100,2020-04-05
circle,81,2020-04-05
mysql,574,2020-04-05
postgresql,120,2020-04-05
oracle,164,2020-04-05
sql server,96,2020-04-05
sql,932,2020-04-05
